F/L/Sex,ID,TrialType,Trial#,RunPosition#,Run#,ConditionType,Condition,RT,Error,TotalError,RepeatedError,Target,Globality,RunType,StimuliType
ALF,22,Experiment,592,4,85,Critical,Global Congruent at 6,9,0,29,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ALF,22,Experiment,839,6,120,Critical,Global Congruent at 6,9,0,39,0,U,Global,Congruent at 6,Congruent Stimuli with Target
SBF,1,Experiment,780,3,112,Control,Global Multiple Absent,10,1,38,1,E,Global,1 Absent,Incongruent Stimuli without Target
ADF,3,Experiment,71,1,11,Critical,Local Incongruent,10,0,52,0,A,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,94,3,14,Critical,Local Congruent at 2,10,0,56,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,172,4,25,Control,Global Multiple Incongruent,10,0,63,0,E,Global,Multiple Congruent until P6,Congruent Stimuli with Target
ADF,3,Experiment,269,3,39,Control,Local All Random,10,0,71,0,E,Local,All Random,Incongruent Stimuli with Target
ADF,3,Experiment,280,7,40,Critical,Global Congruent at 2,10,0,72,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,591,3,85,Critical,Global Incongruent,10,0,114,0,K,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,990,3,142,Critical,Global Congruent at 2,10,0,188,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,1214,3,174,Critical,Global Incongruent,10,0,40,0,E,Global,Incongruent,Incongruent Stimuli with Target
LDF,8,Experiment,1071,7,153,Critical,Local Congruent at 2,10,0,55,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,140,7,20,Critical,Local Congruent at 2,10,0,27,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,1242,3,178,Critical,Global Incongruent,10,0,122,0,U,Global,Incongruent,Incongruent Stimuli with Target
MLF,13,Experiment,1236,4,177,Critical,Global Congruent at 2,10,0,60,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1193,3,171,Critical,Local Congruent at 6,10,0,89,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1225,7,175,Critical,Local Incongruent,10,0,89,0,U,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1257,4,180,Critical,Global Incongruent,10,0,89,0,G,Global,Incongruent,Incongruent Stimuli with Target
DCF,15,Experiment,763,7,109,Critical,Global Congruent at 6,10,0,60,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
DFF,19,Experiment,504,7,72,Critical,Global Congruent at 6,10,0,30,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
SMFWP,21,Experiment,491,1,71,Critical,Local Incongruent,10,0,83,0,G,Local,Incongruent,Incongruent Stimuli with Target
SBF,1,Experiment,466,4,67,Critical,Local Congruent at 2,11,0,22,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
SBF,1,Experiment,546,7,78,Critical,Global Incongruent,11,0,22,0,A,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,115,3,17,Control,Global All Random,11,0,25,0,K,Global,All Random,Congruent Stimuli with Target
FTM,2,Experiment,535,3,77,Critical,Local Congruent at 6,11,0,52,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,136,3,20,Critical,Local Congruent at 2,11,0,56,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,197,1,29,Critical,Local Congruent at 2,11,0,63,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,417,4,60,Control,Global Multiple Incongruent,11,0,93,0,A,Global,Multiple Congruent until P2,Incongruent Stimuli with Target
ADF,3,Experiment,462,7,66,Control,Local Multiple Absent,11,0,105,0,U,Local,1 Absent,Congruent Stimuli with Target
ADF,3,Experiment,577,3,83,Critical,Global Congruent at 6,11,0,114,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,578,4,83,Critical,Global Congruent at 6,11,0,114,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1212,1,174,Critical,Global Congruent at 6,11,0,208,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
HBF,5,Experiment,816,4,117,Critical,Global Congruent at 2,11,0,20,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,1209,5,173,Critical,Global Congruent at 6,11,0,40,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
KLF,7,Experiment,612,3,88,Critical,Global Congruent at 6,11,0,34,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,982,2,141,Critical,Global Congruent at 2,11,0,53,0,K,Global,Congruent at 2,Congruent Stimuli with Target
VSF,12,Experiment,181,6,26,Critical,Global Congruent at 6,11,0,28,0,E,Global,Congruent at 6,Congruent Stimuli with Target
SEF,14,Experiment,626,3,90,Critical,Global Congruent at 2,11,0,50,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
DCF,15,Experiment,605,3,87,Critical,Global Congruent at 2,11,0,46,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
DMF,17,Experiment,1230,5,176,Critical,Global Congruent at 2,11,0,86,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
SMFWP,21,Experiment,875,7,125,Control,Global Multiple Incongruent,11,0,120,0,A,Global,Multiple Congruent until P6,Congruent Stimuli with Target
ALF,22,Experiment,836,3,120,Critical,Global Congruent at 6,11,0,39,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
RFM,23,Experiment,136,3,20,Critical,Local Incongruent,11,0,26,0,E,Local,Incongruent,Incongruent Stimuli with Target
SBF,1,Experiment,1098,6,157,Critical,Global Congruent at 6,12,0,48,0,U,Global,Congruent at 6,Congruent Stimuli with Target
SBF,1,Experiment,1150,2,165,Critical,Global Congruent at 6,12,0,48,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
SBF,1,Experiment,1217,6,174,Critical,Local Congruent at 2,12,0,48,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
SBF,1,Experiment,1238,6,177,Critical,Global Congruent at 2,12,0,48,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,346,3,50,Critical,Local Congruent at 2,12,0,44,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,697,4,100,Control,Global Multiple Incongruent,12,1,61,1,K,Global,Multiple Congruent until P2,Random Stimuli
ADF,3,Experiment,201,5,29,Critical,Local Congruent at 2,12,0,63,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,231,7,33,Critical,Global Congruent at 6,12,0,63,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,357,7,51,Control,Local Multiple Incongruent,12,1,89,1,G,Local,Multiple Congruent until P6,Random Stimuli
ADF,3,Experiment,369,5,53,Control,Global Multiple Incongruent,12,0,90,0,U,Global,Multiple Congruent until P6,Congruent Stimuli with Target
ADF,3,Experiment,388,3,56,Critical,Global Incongruent,12,0,90,0,G,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,428,1,62,Control,Global Multiple Absent,12,1,96,1,U,Global,2 Absent,Incongruent Stimuli without Target
ADF,3,Experiment,607,5,87,Critical,Global Congruent at 6,12,0,114,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1003,2,144,Control,Global Multiple Incongruent,12,0,189,0,A,Global,Multiple Congruent until P2,Congruent Stimuli with Target
HBF,5,Experiment,508,4,73,Critical,Global Incongruent,12,0,15,0,E,Global,Incongruent,Incongruent Stimuli with Target
HBF,5,Experiment,802,4,115,Control,Global Multiple Incongruent,12,1,19,1,A,Global,Multiple Congruent until P2,Incongruent Stimuli without Target
KLF,7,Experiment,486,3,70,Critical,Global Congruent at 2,12,0,33,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
KLF,7,Experiment,564,4,81,Critical,Local Incongruent,12,0,34,0,E,Local,Incongruent,Incongruent Stimuli with Target
KLF,7,Experiment,871,3,125,Critical,Global Congruent at 2,12,0,51,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
KLF,7,Experiment,1117,4,160,Critical,Global Incongruent,12,0,67,0,K,Global,Incongruent,Incongruent Stimuli with Target
KLF,7,Experiment,1162,7,166,Critical,Local Congruent at 2,12,0,67,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,977,4,140,Control,Local Multiple Incongruent,12,0,52,0,K,Local,Multiple Congruent until P6,Congruent Stimuli with Target
LDF,8,Experiment,1036,7,148,Critical,Local Congruent at 6,12,0,55,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,1146,5,164,Critical,Local Congruent at 6,12,0,56,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,1205,1,173,Critical,Global Congruent at 6,12,0,56,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
FCM,9,Experiment,972,6,139,Critical,Global Congruent at 6,12,0,46,0,U,Global,Congruent at 6,Congruent Stimuli with Target
JMF,10,Experiment,1253,7,179,Critical,Global Congruent at 6,12,0,65,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
VSF,12,Experiment,545,6,78,Critical,Global Incongruent,12,0,52,0,E,Global,Incongruent,Incongruent Stimuli with Target
VSF,12,Experiment,560,7,80,Critical,Global Incongruent,12,0,52,0,A,Global,Incongruent,Incongruent Stimuli with Target
VSF,12,Experiment,846,6,121,Control,Global Multiple Incongruent,12,0,83,0,G,Global,Multiple Congruent until P6,Congruent Stimuli with Target
VSF,12,Experiment,1183,7,169,Critical,Local Incongruent,12,0,122,0,E,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,986,6,141,Critical,Local Incongruent,12,0,79,0,K,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,987,7,141,Critical,Local Incongruent,12,0,79,0,K,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1055,5,151,Critical,Local Congruent at 6,12,0,83,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1157,2,166,Critical,Global Congruent at 6,12,0,89,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1230,5,176,Critical,Local Congruent at 2,12,0,89,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1231,6,176,Critical,Local Congruent at 2,12,0,89,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
LOF,16,Experiment,1162,7,166,Critical,Global Congruent at 2,12,0,73,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
DMF,17,Experiment,1048,5,150,Control,Local Multiple Incongruent,12,0,81,0,G,Local,Multiple Congruent until P6,Congruent Stimuli with Target
SMFWP,21,Experiment,1137,3,163,Critical,Global Congruent at 2,12,0,140,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SMFWP,21,Experiment,1203,6,172,Critical,Global Congruent at 6,12,0,140,0,E,Global,Congruent at 6,Congruent Stimuli with Target
ALF,22,Experiment,302,1,44,Critical,Local Congruent at 6,12,0,20,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
ALF,22,Experiment,1206,2,173,Critical,Global Congruent at 6,12,0,58,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
RFM,23,Experiment,604,2,87,Critical,Local Congruent at 2,12,0,41,0,E,Local,Congruent at 2,Congruent Stimuli with Target
SBF,1,Experiment,587,6,84,Critical,Global Incongruent,13,0,22,0,G,Global,Incongruent,Incongruent Stimuli with Target
SBF,1,Experiment,612,3,88,Critical,Global Congruent at 2,13,0,22,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
SBF,1,Experiment,1055,5,151,Critical,Global Congruent at 2,13,0,48,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,290,3,42,Critical,Global Congruent at 2,13,0,40,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,354,4,51,Critical,Global Congruent at 6,13,0,44,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,859,5,123,Critical,Global Congruent at 2,13,0,70,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,863,2,124,Critical,Local Congruent at 2,13,0,70,0,G,Local,Congruent at 2,Congruent Stimuli with Target
FTM,2,Experiment,899,3,129,Critical,Global Congruent at 2,13,0,71,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1240,1,178,Critical,Global Congruent at 6,13,1,86,1,K,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,211,1,31,Critical,Global Congruent at 6,13,0,63,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,238,7,34,Critical,Global Congruent at 2,13,0,63,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,264,5,38,Control,Global Multiple Absent,13,1,67,1,A,Global,6 Absent,Incongruent Stimuli without Target
ADF,3,Experiment,273,7,39,Control,Local All Random,13,1,72,1,E,Local,All Random,Incongruent Stimuli without Target
ADF,3,Experiment,308,7,44,Critical,Global Congruent at 6,13,0,78,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,371,7,53,Control,Global Multiple Incongruent,13,0,90,0,U,Global,Multiple Congruent until P6,Congruent Stimuli with Target
ADF,3,Experiment,379,1,55,Critical,Global Congruent at 6,13,0,90,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,599,4,86,Critical,Global Incongruent,13,0,114,0,E,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,621,5,89,Critical,Local Congruent at 2,13,0,114,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,633,3,91,Critical,Local Incongruent,13,0,114,0,G,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,661,3,95,Control,Local All Random,13,0,114,0,U,Local,All Random,Incongruent Stimuli with Target
ADF,3,Experiment,664,6,95,Control,Local All Random,13,0,115,0,U,Local,All Random,Congruent Stimuli with Target
ADF,3,Experiment,765,2,110,Critical,Local Incongruent,13,0,136,0,U,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,782,5,112,Critical,Global Incongruent,13,0,138,0,A,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,787,3,113,Critical,Local Congruent at 2,13,0,139,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,826,7,118,Critical,Global Congruent at 6,13,0,147,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1010,2,145,Critical,Global Incongruent,13,0,194,0,K,Global,Incongruent,Incongruent Stimuli with Target
KLF,7,Experiment,594,6,85,Critical,Global Congruent at 2,13,0,34,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,577,3,83,Critical,Local Congruent at 2,13,0,52,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
VSF,12,Experiment,1204,7,172,Critical,Local Incongruent,13,0,122,0,U,Local,Incongruent,Incongruent Stimuli with Target
