F/L/Sex,ID,TrialType,Trial#,RunPosition#,Run#,ConditionType,Condition,RT,Error,TotalError,RepeatedError,Target,Globality,RunType,StimuliType
VSF,12,Experiment,1132,5,162,Critical,Global Congruent at 2,53,0,122,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1047,4,150,Critical,Local Incongruent,53,0,83,0,U,Local,Incongruent,Incongruent Stimuli with Target
DCF,15,Experiment,1237,5,177,Critical,Local Incongruent,53,0,86,0,G,Local,Incongruent,Incongruent Stimuli with Target
SMFWP,21,Experiment,1141,7,163,Critical,Global Congruent at 2,53,0,140,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SBF,1,Experiment,1196,6,171,Critical,Local Congruent at 2,54,0,48,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,781,4,112,Critical,Global Congruent at 2,54,0,66,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1161,6,166,Critical,Global Congruent at 6,54,0,85,0,A,Global,Congruent at 6,Congruent Stimuli with Target
FTM,2,Experiment,1165,3,167,Critical,Global Congruent at 6,54,0,85,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,694,1,100,Critical,Local Incongruent,54,0,118,0,E,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1074,3,154,Critical,Global Incongruent,54,0,205,0,E,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1216,5,174,Critical,Global Congruent at 6,54,0,208,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,1155,7,165,Critical,Local Congruent at 6,54,0,56,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1197,7,171,Critical,Local Congruent at 6,54,0,89,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
DCF,15,Experiment,921,4,132,Critical,Global Incongruent,54,0,64,0,K,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,622,6,89,Critical,Local Congruent at 2,55,0,57,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1236,4,177,Critical,Local Congruent at 2,55,0,85,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,447,6,64,Critical,Local Congruent at 2,55,0,99,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,865,4,124,Critical,Local Congruent at 2,55,0,158,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,962,3,138,Critical,Global Congruent at 2,55,0,182,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1135,1,163,Critical,Local Congruent at 2,55,0,206,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,605,3,87,Critical,Global Congruent at 6,55,0,27,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,350,7,50,Critical,Local Congruent at 2,56,0,44,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1052,2,151,Critical,Local Incongruent,56,0,85,0,U,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1176,7,168,Critical,Global Incongruent,56,0,85,0,A,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1111,5,159,Critical,Global Congruent at 2,56,0,206,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,780,3,112,Critical,Local Congruent at 6,56,0,18,0,K,Local,Congruent at 6,Incongruent Stimuli with Target
DCF,15,Experiment,579,5,83,Critical,Global Congruent at 6,56,0,46,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,592,4,85,Critical,Local Incongruent,57,0,27,0,E,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,613,4,88,Critical,Global Congruent at 6,58,0,57,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,614,5,88,Critical,Local Congruent at 2,58,0,114,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,842,2,121,Critical,Local Congruent at 6,58,0,152,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1238,6,177,Critical,Local Congruent at 2,58,0,208,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,892,3,128,Critical,Global Incongruent,58,0,48,0,E,Global,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1232,7,176,Critical,Local Congruent at 2,58,0,89,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
DCF,15,Experiment,1243,4,178,Critical,Global Congruent at 2,58,0,86,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
RFM,23,Experiment,135,2,20,Critical,Local Incongruent,58,0,26,0,E,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,569,2,82,Critical,Global Congruent at 6,59,0,54,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,956,4,137,Critical,Local Incongruent,59,0,79,0,K,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1134,7,162,Critical,Global Incongruent,59,0,85,0,G,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1172,3,168,Critical,Global Incongruent,59,0,85,0,A,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1225,7,175,Critical,Global Congruent at 6,59,0,85,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1084,6,155,Critical,Global Congruent at 6,59,0,205,0,U,Global,Congruent at 6,Congruent Stimuli with Target
ADF,3,Experiment,1136,2,163,Critical,Local Congruent at 2,59,0,206,0,G,Local,Congruent at 2,Congruent Stimuli with Target
SEF,14,Experiment,462,7,66,Critical,Global Congruent at 2,59,0,31,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,992,5,142,Critical,Global Incongruent,59,0,79,0,A,Global,Incongruent,Incongruent Stimuli with Target
ALF,22,Experiment,597,2,86,Critical,Global Incongruent,59,0,29,0,G,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,571,4,82,Critical,Global Congruent at 6,60,0,54,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,641,4,92,Critical,Local Congruent at 2,60,0,57,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,753,4,108,Critical,Global Incongruent,60,0,64,0,G,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,985,5,141,Critical,Local Congruent at 2,60,0,81,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1153,5,165,Critical,Global Congruent at 2,60,0,85,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1183,7,169,Critical,Global Incongruent,60,0,85,0,K,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1129,2,162,Critical,Global Congruent at 6,60,0,206,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
DSM,6,Experiment,630,7,90,Critical,Global Incongruent,60,0,36,0,A,Global,Incongruent,Incongruent Stimuli with Target
LDF,8,Experiment,1220,2,175,Critical,Global Congruent at 6,60,0,56,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1035,6,148,Critical,Global Incongruent,60,0,83,0,U,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,657,6,94,Critical,Global Congruent at 6,61,0,57,0,A,Global,Congruent at 6,Congruent Stimuli with Target
FTM,2,Experiment,755,6,108,Critical,Global Incongruent,61,0,64,0,G,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1173,4,168,Critical,Global Incongruent,61,0,85,0,A,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,188,6,27,Critical,Local Congruent at 2,61,0,63,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
FCM,9,Experiment,510,6,73,Critical,Global Congruent at 6,61,0,32,0,A,Global,Congruent at 6,Congruent Stimuli with Target
SEF,14,Experiment,874,6,125,Critical,Local Incongruent,61,0,75,0,E,Local,Incongruent,Incongruent Stimuli with Target
DCF,15,Experiment,591,3,85,Critical,Global Congruent at 6,61,0,46,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
DCF,15,Experiment,829,3,119,Critical,Local Congruent at 2,61,0,63,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
DCF,15,Experiment,1188,5,170,Critical,Global Incongruent,61,0,85,0,U,Global,Incongruent,Incongruent Stimuli with Target
DCF,15,Experiment,1244,5,178,Critical,Global Congruent at 2,61,0,86,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
LOF,16,Experiment,1139,5,163,Critical,Global Incongruent,61,0,73,0,A,Global,Incongruent,Incongruent Stimuli with Target
LOF,16,Experiment,1195,5,171,Critical,Local Incongruent,61,0,73,0,A,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1131,4,162,Critical,Global Incongruent,62,0,85,0,G,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1221,3,175,Critical,Global Congruent at 6,62,0,85,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,667,2,96,Critical,Local Incongruent,62,0,116,0,K,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,884,2,127,Critical,Global Congruent at 6,62,0,166,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,957,5,137,Critical,Global Congruent at 6,62,0,182,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,966,7,138,Critical,Global Congruent at 2,62,0,182,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1159,4,166,Critical,Local Congruent at 2,62,0,56,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
DCF,15,Experiment,1253,7,179,Critical,Global Congruent at 6,62,0,86,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
LOF,16,Experiment,1154,6,165,Critical,Local Congruent at 2,62,0,73,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
LOF,16,Experiment,1238,6,177,Critical,Local Congruent at 2,62,0,74,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
SBF,1,Experiment,1195,5,171,Critical,Local Congruent at 2,63,0,48,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,860,6,123,Critical,Global Congruent at 2,63,0,70,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1159,4,166,Critical,Global Congruent at 6,63,0,85,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,233,2,34,Critical,Global Congruent at 2,63,0,63,0,A,Global,Congruent at 2,Congruent Stimuli with Target
ADF,3,Experiment,503,6,72,Critical,Global Congruent at 6,63,0,113,0,G,Global,Congruent at 6,Congruent Stimuli with Target
ADF,3,Experiment,656,5,94,Critical,Global Incongruent,63,0,114,0,G,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1222,4,175,Critical,Local Congruent at 6,63,0,208,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
HBF,5,Experiment,571,4,82,Critical,Local Incongruent,63,0,16,0,U,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1207,3,173,Critical,Local Incongruent,63,0,89,0,K,Local,Incongruent,Incongruent Stimuli with Target
LOF,16,Experiment,627,4,90,Critical,Global Congruent at 2,63,0,34,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,572,5,82,Critical,Global Congruent at 6,64,0,54,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,786,2,113,Critical,Local Congruent at 6,64,0,66,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,847,7,121,Critical,Local Congruent at 6,64,0,70,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,321,6,46,Critical,Global Congruent at 2,64,0,78,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,600,5,86,Critical,Global Incongruent,64,0,114,0,E,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,959,7,137,Critical,Global Congruent at 6,64,0,182,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,580,6,83,Critical,Global Congruent at 6,64,0,49,0,E,Global,Congruent at 6,Congruent Stimuli with Target
SEF,14,Experiment,1216,5,174,Critical,Local Incongruent,64,0,89,0,E,Local,Incongruent,Incongruent Stimuli with Target
RFM,23,Experiment,683,4,98,Critical,Local Incongruent,64,0,44,0,K,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1117,4,160,Critical,Global Congruent at 2,65,0,85,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,448,7,64,Critical,Local Congruent at 2,65,0,99,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,1098,6,157,Critical,Global Congruent at 2,65,0,37,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1206,2,173,Critical,Global Congruent at 6,65,0,56,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,566,6,81,Critical,Local Congruent at 6,66,0,54,0,U,Local,Congruent at 6,Congruent Stimuli with Target
FTM,2,Experiment,655,4,94,Critical,Global Congruent at 6,66,0,57,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,946,1,136,Critical,Global Congruent at 6,66,0,182,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1249,3,179,Critical,Global Congruent at 6,66,0,89,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,291,4,42,Critical,Global Congruent at 2,67,0,40,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,870,2,125,Critical,Global Congruent at 2,67,0,70,0,K,Global,Congruent at 2,Congruent Stimuli with Target
FTM,2,Experiment,877,2,126,Critical,Global Congruent at 2,67,0,70,0,E,Global,Congruent at 2,Congruent Stimuli with Target
FTM,2,Experiment,898,2,129,Critical,Global Congruent at 2,67,0,71,0,A,Global,Congruent at 2,Congruent Stimuli with Target
ADF,3,Experiment,160,6,23,Critical,Global Congruent at 2,67,0,63,0,U,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,285,5,41,Critical,Global Incongruent,67,0,72,0,A,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,612,3,88,Critical,Local Congruent at 2,67,0,114,0,K,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,698,5,100,Critical,Local Incongruent,67,0,118,0,E,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1126,6,161,Critical,Global Incongruent,67,0,206,0,U,Global,Incongruent,Incongruent Stimuli with Target
DCF,15,Experiment,574,7,82,Critical,Local Congruent at 2,67,0,46,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,618,2,89,Critical,Local Congruent at 2,68,0,57,0,E,Local,Congruent at 2,Congruent Stimuli with Target
FTM,2,Experiment,829,3,119,Critical,Global Congruent at 6,68,0,70,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,1064,7,152,Critical,Local Congruent at 2,68,0,85,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1151,3,165,Critical,Global Congruent at 2,68,0,85,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1132,5,162,Critical,Global Congruent at 6,68,0,206,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1141,7,163,Critical,Local Congruent at 2,68,0,206,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,763,7,109,Critical,Global Congruent at 2,68,0,18,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
KLF,7,Experiment,1207,3,173,Critical,Global Congruent at 2,68,0,67,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
DMF,17,Experiment,1251,5,179,Critical,Global Congruent at 2,68,0,86,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
SMFWP,21,Experiment,1136,2,163,Critical,Global Congruent at 2,68,0,140,0,K,Global,Congruent at 2,Congruent Stimuli with Target
RFM,23,Experiment,1260,7,180,Critical,Global Congruent at 6,68,0,66,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,397,5,57,Critical,Global Incongruent,69,0,46,0,U,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,615,6,88,Critical,Global Congruent at 6,69,0,57,0,E,Global,Congruent at 6,Congruent Stimuli with Target
FTM,2,Experiment,942,4,135,Critical,Global Incongruent,69,0,77,0,U,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1169,7,167,Critical,Global Congruent at 6,69,0,85,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,1234,2,177,Critical,Local Congruent at 2,69,0,85,0,K,Local,Congruent at 2,Congruent Stimuli with Target
ADF,3,Experiment,719,5,103,Critical,Global Incongruent,69,0,124,0,U,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1138,4,163,Critical,Local Congruent at 2,69,0,206,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
HBF,5,Experiment,584,3,84,Critical,Global Congruent at 2,69,0,16,0,K,Global,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,576,2,83,Critical,Global Congruent at 2,69,0,27,0,U,Global,Congruent at 2,Congruent Stimuli with Target
FTM,2,Experiment,453,5,65,Critical,Local Incongruent,70,0,50,0,A,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,529,4,76,Critical,Local Incongruent,70,0,52,0,G,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,645,1,93,Critical,Local Incongruent,70,0,114,0,A,Local,Incongruent,Incongruent Stimuli with Target
LDF,8,Experiment,1152,4,165,Critical,Local Congruent at 6,70,0,56,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
VSF,12,Experiment,1197,7,171,Critical,Local Congruent at 2,70,0,122,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,980,7,140,Critical,Local Incongruent,70,0,79,0,G,Local,Incongruent,Incongruent Stimuli with Target
SMFWP,21,Experiment,1229,4,176,Critical,Global Congruent at 2,70,0,141,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,868,7,124,Critical,Local Congruent at 2,71,0,70,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,1160,5,166,Critical,Global Congruent at 6,71,0,85,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,1223,5,175,Critical,Global Congruent at 6,71,0,85,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,553,7,79,Critical,Local Congruent at 6,71,0,114,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,560,7,80,Critical,Local Incongruent,71,0,49,0,A,Local,Incongruent,Incongruent Stimuli with Target
DCF,15,Experiment,1228,3,176,Critical,Global Congruent at 6,71,0,86,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
DCF,15,Experiment,1249,3,179,Critical,Global Congruent at 6,71,0,86,0,E,Global,Congruent at 6,Incongruent Stimuli with Target
RFM,23,Experiment,151,4,22,Critical,Local Congruent at 2,71,0,27,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
RFM,23,Experiment,637,7,91,Critical,Global Congruent at 6,71,0,42,0,U,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,293,6,42,Critical,Global Congruent at 2,72,0,40,0,E,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,398,6,57,Critical,Global Incongruent,72,0,46,0,U,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,864,3,124,Critical,Local Congruent at 2,72,0,70,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,699,6,100,Critical,Local Incongruent,72,0,118,0,E,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,838,5,120,Critical,Local Congruent at 6,72,0,152,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1032,3,148,Critical,Local Incongruent,72,0,198,0,U,Local,Incongruent,Incongruent Stimuli with Target
HBF,5,Experiment,798,7,114,Critical,Local Congruent at 6,72,0,18,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,1162,7,166,Critical,Global Congruent at 6,72,0,89,0,K,Global,Congruent at 6,Incongruent Stimuli with Target
DCF,15,Experiment,682,3,98,Critical,Global Congruent at 6,72,0,53,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
SBF,1,Experiment,585,4,84,Critical,Global Incongruent,73,0,22,0,G,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,653,2,94,Critical,Global Congruent at 6,73,0,57,0,A,Global,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,927,3,133,Critical,Global Incongruent,73,0,76,0,K,Global,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1139,5,163,Critical,Local Congruent at 2,73,0,206,0,G,Local,Congruent at 2,Incongruent Stimuli with Target
LDF,8,Experiment,1143,2,164,Critical,Local Congruent at 6,73,0,56,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
SEF,14,Experiment,623,7,89,Critical,Local Incongruent,73,0,50,0,E,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,822,3,118,Critical,Global Incongruent,73,0,71,0,G,Global,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,1070,6,153,Critical,Global Congruent at 2,73,0,83,0,A,Global,Congruent at 2,Incongruent Stimuli with Target
SEF,14,Experiment,1166,4,167,Critical,Global Congruent at 6,73,0,89,0,G,Global,Congruent at 6,Incongruent Stimuli with Target
RFM,23,Experiment,445,4,64,Critical,Global Congruent at 2,73,0,39,0,G,Global,Congruent at 2,Incongruent Stimuli with Target
FTM,2,Experiment,556,3,80,Critical,Local Incongruent,74,0,54,0,U,Local,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,1148,7,164,Critical,Local Congruent at 2,74,0,85,0,U,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,31,3,5,Critical,Local Congruent at 6,74,0,40,0,E,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,202,6,29,Critical,Local Congruent at 2,74,0,63,0,E,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1178,2,169,Critical,Global Incongruent,74,0,207,0,G,Global,Incongruent,Incongruent Stimuli with Target
HBF,5,Experiment,1246,7,178,Critical,Local Congruent at 6,74,0,40,0,K,Local,Congruent at 6,Incongruent Stimuli with Target
LDF,8,Experiment,590,2,85,Critical,Local Incongruent,74,0,27,0,E,Local,Incongruent,Incongruent Stimuli with Target
SEF,14,Experiment,790,6,113,Critical,Global Congruent at 6,74,0,68,0,E,Global,Congruent at 6,Congruent Stimuli with Target
LOF,16,Experiment,595,7,85,Critical,Local Congruent at 6,74,0,34,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
FTM,2,Experiment,552,6,79,Critical,Global Incongruent,75,0,54,0,K,Global,Incongruent,Incongruent Stimuli with Target
FTM,2,Experiment,844,4,121,Critical,Local Congruent at 6,75,0,70,0,A,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,532,7,76,Critical,Local Congruent at 2,75,0,113,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,805,7,115,Critical,Local Congruent at 2,75,0,140,0,A,Local,Congruent at 2,Incongruent Stimuli with Target
ADF,3,Experiment,1156,1,166,Critical,Local Congruent at 6,75,0,206,0,G,Local,Congruent at 6,Incongruent Stimuli with Target
ADF,3,Experiment,1169,7,167,Critical,Local Incongruent,75,0,207,0,A,Local,Incongruent,Incongruent Stimuli with Target
ADF,3,Experiment,1225,7,175,Critical,Local Congruent at 6,75,0,208,0,U,Local,Congruent at 6,Incongruent Stimuli with Target
